subId,crCount,faCount,hitCount,missCount,totalSearchTime,accuracy_rate,inverse_efficiency,expTrialsStartDate
00540ec7978f74724ae3f4ae262fb1eef7402003e09a95d002068c61d94bc784,0.5,0.0,0.4305555555555556,0.06944444444444445,5280.75,0.9305555555555556,56.748358208955224,08-12-2024
009934bef17e20ef5f9fc4686aaef9943768859f6b037a75f50d27bad41b2bd4,0.5,0.0,0.4444444444444444,0.05555555555555555,7882.027777777777,0.9444444444444444,83.45676470588235,09-09-2024
009e874aa97f34d40e2883d8e7db889395a0eaf0ef9142c179ad822a9eb3ac7f,0.5,0.0,0.3611111111111111,0.1388888888888889,5915.625,0.8611111111111112,68.69758064516128,09-20-2024
01042afea172be94c60f488b81c3a5ee545796a5681b0b2e489738e1bcdcedd9,0.5,0.0,0.3611111111111111,0.1388888888888889,5202.791666666667,0.8611111111111112,60.41951612903226,09-20-2024
016a1d1b05e4fcee09cd1fc5bbc57492822fdb24e3e60cfeb71cff8712d03d7b,0.5,0.0,0.2916666666666667,0.20833333333333334,6469.375,0.7916666666666667,81.71842105263157,08-13-2024
01955989cd40287d99705218cb631950f371ad9d71a1221ba0a41a66964ba856,0.5,0.0,0.4444444444444444,0.05555555555555555,5702.291666666667,0.9444444444444444,60.377205882352946,08-13-2024
02b3d5cb88723579a171b3601a124acddd6809214640be0e02ac5d090863583c,0.3055555555555556,0.2638888888888889,0.2916666666666667,0.20833333333333334,7018.847222222223,0.5584415584415585,125.68633397932815,09-19-2024
02c1daa24517c5590c1e062ef7ab6e19bd944743d0133006b2fae8434d9aa8b4,0.5,0.0,0.3472222222222222,0.1527777777777778,6041.416666666667,0.8472222222222222,71.30852459016394,08-13-2024
032e458b3d465bfdc0ef6abd2c7d170ea14056e25de858f749adb800f2a316ac,0.5,0.0,0.3333333333333333,0.16666666666666666,5019.25,0.8333333333333334,60.230999999999995,09-18-2024
0370ae4c7630db7ac75240922cbb69a43d88e589795e0fa4ae5a2e38f93dbfd3,0.4027777777777778,0.125,0.3194444444444444,0.18055555555555555,4932.375,0.7027027027027027,70.19149038461538,09-17-2024
04147b523db7b096d5311c1373ff7e36609cbde7b44ed7eb7d27fc1d7355961d,0.4861111111111111,0.013888888888888888,0.375,0.125,5129.486111111111,0.8611111111111112,59.568225806451615,09-20-2024
047819f310077c665e98af4fd778ce065669eb2515da09f89bb2efba7f9f812b,0.3333333333333333,0.2361111111111111,0.4027777777777778,0.09722222222222222,5403.388888888889,0.6883116883116883,78.5020649895178,08-13-2024
0478ba63cc616b155d62e8225022b8c0b9188fc0a5500a0ac4fd620ce09f41b0,0.4861111111111111,0.013888888888888888,0.4444444444444444,0.05555555555555555,5028.819444444444,0.9305555555555556,54.0410447761194,08-08-2024
04d5f22ff3a20c2769fb2d594ce6d512ee9168f79c7906452a801224bd1896f6,0.4583333333333333,0.06944444444444445,0.1111111111111111,0.3888888888888889,3015.4305555555557,0.5540540540540541,54.42484417344174,08-14-2024
04ee471b514e5bff39c3fa3f7ed8dacad87af47884bd19b245c913b5843ad04e,0.3333333333333333,0.20833333333333334,0.3888888888888889,0.1111111111111111,5176.277777777777,0.6933333333333332,74.65785256410257,08-12-2024
04f7a9499b1c3a8dab4655a15eee41971619c57c95e41d792c26edd0b8d1d266,0.5,0.0,0.4027777777777778,0.09722222222222222,4199.041666666667,0.9027777777777778,46.51246153846154,08-09-2024
053b013bdb5d5e0bcb28dcd6c6dea4eed353d72f52dca0b4d1b346cc7033d24e,0.5,0.0,0.2222222222222222,0.2777777777777778,4237.041666666667,0.7222222222222222,58.66673076923078,08-15-2024
05afcef16779bfad01fa8e848d5fc4f22308e57f90b7ac8aeabd215c7cc187f1,0.5,0.013888888888888888,0.3055555555555556,0.19444444444444445,4211.861111111111,0.7945205479452055,53.01135536398468,08-13-2024
05b5d38a9a27ebd8d2004b99eed435e879e20ff2de912b2905f5a055fa1233a6,0.5,0.05555555555555555,0.2777777777777778,0.2222222222222222,4666.930555555556,0.7368421052631579,63.33691468253969,08-06-2024
0692b91d163a62ebb3b08ec0ed453e165dcd75e13f00976a75f62c68a07af1b2,0.5,0.0,0.4027777777777778,0.09722222222222222,4594.333333333333,0.9027777777777778,50.891076923076916,08-15-2024
06cdf57a77660506ad4497a3510716675eab5ebf2e5df789e6b0ae280bf87581,0.4861111111111111,0.013888888888888888,0.3333333333333333,0.16666666666666666,6932.833333333333,0.8194444444444445,84.60406779661015,08-13-2024
0730abc2a0e1b698da582c2d1be9b6c0a7199f8e501e13523447ef732b4c59d6,0.5,0.0,0.2777777777777778,0.2222222222222222,3980.8611111111113,0.7777777777777778,51.1825,09-19-2024
078fcd98cecbb1489b6ce82a38d025e0f4a8b3defe87907452ec56e546b56255,0.4027777777777778,0.16666666666666666,0.3055555555555556,0.19444444444444445,7881.833333333333,0.6623376623376623,119.00022875816994,09-17-2024
087149d0f593c2614fdaed480f7725c604bd5abdf863f65ba2b68f19f862de46,0.5,0.0,0.3611111111111111,0.1388888888888889,5146.958333333333,0.8611111111111112,59.77112903225806,08-12-2024
08f76d2a25b7aaf8e295c211d461f485addeb73b4bc1e016e30477ddc966363e,0.5,0.0,0.4027777777777778,0.09722222222222222,5647.125,0.9027777777777778,62.55276923076922,08-08-2024
09473621d1ec950262d19b23e847ae1865c4460e790203fcc49c2ced81005b8d,0.013888888888888888,0.8611111111111112,0.1111111111111111,0.3888888888888889,2862.8611111111113,0.09090909090909091,314.9147222222222,09-20-2024
